Competência,Subclasse,Admitidos,Desligados,Saldo
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,3,1,2
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,0,1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",0,1,-1
07/2020,Com. Var. de Mat. de Const. não Especif. Ant.,1,0,1
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,14,1,13
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,1,0
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,"Com. Var. de Produtos Farmac., com Manip. de Fórmulas",1,2,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,2,0,2
07/2020,Comercio Var. de Art. de Armarinho,1,1,0
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,"Com. Atac. de Merc. em Geral, sem Pred. de Alimentos ou de Insumos Agropecuários",17,5,12
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",5,2,3
07/2020,Com. Atac. de Medicamentos e Drogas de Uso Humano,31,22,9
07/2020,Com. Var. Especial. de Equip. de Telefonia e Comunicação,2,0,2
07/2020,Com. Var. de Hortifrutigranjeiros,0,2,-2
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,"Com. Atac. de Produtos da Extração Mineral, Exceto Comb.",1,1,0
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,0,1,-1
07/2020,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,0,2,-2
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,Comercio Var. de Art. de Armarinho,1,1,0
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,0,1
07/2020,Com. Atac. de Resíduos e Sucatas Metálicos,0,1,-1
07/2020,Com. Atac. de Carnes Bovinas e Suínas e Derivados,4,10,-6
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,1,0
07/2020,Com. por Atacado de Pneumáticos e Câmaras-De-Ar,0,2,-2
07/2020,Com. Atac. de Resíduos e Sucatas Metálicos,1,0,1
07/2020,Com. Atac. de Sorvetes,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,2,-2
07/2020,Com. Atac. de Produtos Alim. em Geral,4,1,3
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,0,1,-1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,1,0
07/2020,Com. Var. de Ferragens e Ferramentas,0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",0,1,-1
07/2020,Com. Var. de Gás LiqüEfeito de Petróleo (Glp),1,2,-1
07/2020,Representantes Comerciais e Agentes do Com. de Merc. em Geral não Especial.,1,0,1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,Com. Atac. de Material Elétrico,0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Usados",0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,0,1,-1
07/2020,Padaria e Confeitaria com Pred. de Revenda,2,0,2
07/2020,Com. Var. de Carnes - Açougues,0,1,-1
07/2020,Com. Var. de Móveis,1,0,1
07/2020,Com. Var. de Móveis,2,0,2
07/2020,Com. Var. de Móveis,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,2,0,2
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Usados",0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,Com. Var. de Tintas e Mat. para Pintura,1,0,1
07/2020,Com. Var. de Calçados,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
07/2020,Com. Atac. Especial. em Outros Produtos Intermediários não Especif. Ant.,1,0,1
07/2020,Com. Atac. de Produtos Alim. em Geral,1,0,1
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,0,1,-1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,1,-1
07/2020,Com. Atac. de Cosméticos e Produtos de Perfumaria,1,7,-6
07/2020,Com. Var. de Art. de Iluminação,0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,0,1,-1
07/2020,Com. Var. de Mat. de Const. em Geral,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,2,-2
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",1,0,1
07/2020,Com. Var. de Móveis,1,0,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,1,-1
07/2020,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",1,0,1
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,2,1,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,2,-2
07/2020,Com. Var. de Mat. de Const. não Especif. Ant.,0,3,-3
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,0,1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
07/2020,Com. Atac. de Sorvetes,7,3,4
07/2020,Com. Var. de Mat. de Const. não Especif. Ant.,0,1,-1
07/2020,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,2,0,2
07/2020,Com. Atac. de Ferragens e Ferramentas,6,5,1
07/2020,Com. Var. de Bebidas,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
07/2020,Com. por Atacado de Peças e Acessórios para Motocicletas e Motonetas,1,0,1
07/2020,Com. Atac. de Produtos Alim. em Geral,9,9,0
07/2020,"Com. Var. de Suvenires, Bijuterias e Artesanatos",1,0,1
07/2020,Com. Var. de Plantas e Flores Naturais,1,0,1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,0,1,-1
07/2020,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,1,0,1
07/2020,Com. Var. de Equip. para Escritório,0,1,-1
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,1,1,0
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,1,0
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",2,0,2
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",1,0,1
07/2020,Com. Atac. de Ferragens e Ferramentas,1,0,1
07/2020,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,1,1,0
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,8,2,6
07/2020,Com. Atac. de Resíduos de Papel e Papelão,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,1,0,1
07/2020,Com. Var. de Gás LiqüEfeito de Petróleo (Glp),3,0,3
07/2020,Com. Var. de Bebidas,0,2,-2
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",4,6,-2
07/2020,Com. Atac. de Resíduos e Sucatas Metálicos,0,1,-1
07/2020,Com. Var. de Carnes - Açougues,1,0,1
07/2020,Comercio Var. de Art. de Armarinho,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
07/2020,Com. Atac. de Produtos Alim. em Geral,1,0,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,1,-1
07/2020,Com. Var. de Mat. de Const. em Geral,0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",13,4,9
07/2020,Com. Var. de Art. de óptica,2,0,2
07/2020,Com. Var. de Art. de óptica,2,0,2
07/2020,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,0,1,-1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",0,2,-2
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,0,1,-1
07/2020,Com. Atac. de Embalagens,1,1,0
07/2020,Com. Var. de Tintas e Mat. para Pintura,0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Outros Art. de Uso Doméstico não Especif. Ant.,0,1,-1
07/2020,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,0,2,-2
07/2020,Com. Var. de Livros,1,0,1
07/2020,Com. Var. de Mat. de Const. em Geral,1,1,0
07/2020,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,0,2,-2
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,2,0,2
07/2020,Com. Var. de Madeira e Artefatos,1,0,1
07/2020,"Com. Atac. de Instrumentos e Mat. para Uso Médico, Cirúrgico, Hospitalar e de Laboratórios",2,0,2
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",19,2,17
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Hipermercados",181,14,167
07/2020,Com. Atac. Especial. em Outros Produtos Intermediários não Especif. Ant.,0,1,-1
07/2020,Com. Var. de Art. de Colchoaria,1,1,0
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
07/2020,Com. Var. de Madeira e Artefatos,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,"Com. Var. de Suvenires, Bijuterias e Artesanatos",1,0,1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",4,2,2
07/2020,Com. Var. de Plantas e Flores Naturais,0,1,-1
07/2020,Com. Var. de Art. Esportivos,5,0,5
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,Com. Atac. de Componentes Eletrônicos e Equip. de Telefonia e Comunicação,0,8,-8
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",1,0,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",22,15,7
07/2020,"Com. Var. de Bicicletas e Triciclos, Peças e Acessórios",2,0,2
07/2020,Com. Var. de Comb. para Veíc. Autom.,1,1,0
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,2,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,7,7,0
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",12,7,5
07/2020,Com. Var. de Art. do Vestuário e Acessórios,2,0,2
07/2020,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",0,1,-1
07/2020,"Lojas de Variedades, Exceto Lojas de Dep. ou Magazines",0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,2,1,1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",0,2,-2
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,1,0
07/2020,Com. Var. de Mat. Hidráulicos,1,0,1
07/2020,Com. Var. de Tintas e Mat. para Pintura,0,2,-2
07/2020,Com. Var. de Tintas e Mat. para Pintura,1,0,1
07/2020,Com. Var. de Tintas e Mat. para Pintura,0,1,-1
07/2020,Com. Var. de Tintas e Mat. para Pintura,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,3,3,0
07/2020,"Com. Atac. de Cerveja, Chope e Refrigerante",2,0,2
07/2020,Serv. de Alinhamento e Balanceamento de Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Produtos Saneantes Domissanitários,1,0,1
07/2020,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Art. de Iluminação,0,1,-1
07/2020,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,Com. Var. de Art. de Colchoaria,2,0,2
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,"Representantes Comerciais e Agentes do Com. de Produtos Alim., Bebidas e Fumo",2,0,2
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",0,1,-1
07/2020,Com. Var. de Calçados,0,1,-1
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,8,0,8
07/2020,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,3,0,3
07/2020,Com. Atac. de Produtos Alim. em Geral,2,1,1
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,0,1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,1,0,1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",0,1,-1
07/2020,Com. Var. de Ferragens e Ferramentas,2,2,0
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,2,1,1
07/2020,"Com. Atac. de Máquinas e Equip. para Uso Industrial, Partes e Peças",0,3,-3
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,0,1,-1
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",2,1,1
07/2020,Com. Var. Especial. de Equip. de Telefonia e Comunicação,0,1,-1
07/2020,Com. Var. de Móveis,3,0,3
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,0,5,-5
07/2020,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,0,3,-3
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,2,0,2
07/2020,Com. Atac. de Embalagens,2,4,-2
07/2020,Com. Var. de Vidros,5,0,5
07/2020,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",3,4,-1
07/2020,"Com. Atac. de Bombas e Compressores, Partes e Peças",1,0,1
07/2020,Com. Var. de Art. de óptica,1,0,1
07/2020,Com. Var. de Móveis,30,5,25
07/2020,Com. Var. de Móveis,6,0,6
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
07/2020,"Com. Var. de Bicicletas e Triciclos, Peças e Acessórios",1,0,1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
07/2020,Com. Var. de Carnes - Açougues,0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",2,0,2
07/2020,Com. Var. de Hortifrutigranjeiros,5,19,-14
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",1,0,1
07/2020,Com. Var. de Hortifrutigranjeiros,10,18,-8
07/2020,Padaria e Confeitaria com Pred. de Revenda,1,1,0
07/2020,Com. Var. de Art. do Vestuário e Acessórios,2,0,2
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
07/2020,"Com. Atac. de Merc. em Geral, com Pred. de Produtos Alim.",8,2,6
07/2020,"Com. Atac. de Cerveja, Chope e Refrigerante",0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,1,0,1
07/2020,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",1,0,1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,"Com. Var. Especial. de Peças e Acessórios para Aparelhos Eletroeletrônicos para Uso Doméstico, Exceto Informática e Comunicação",1,0,1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",0,1,-1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",1,1,0
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Calçados,0,1,-1
07/2020,Serv. de Alinhamento e Balanceamento de Veíc. Autom.,1,0,1
07/2020,Com. Var. de Madeira e Artefatos,1,0,1
07/2020,Com. Var. de Mat. de Const. em Geral,1,3,-2
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,1,0
07/2020,Com. Var. de Material Elétrico,1,0,1
07/2020,Com. Var. de Outros Art. de Uso Doméstico não Especif. Ant.,0,1,-1
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,1,0
07/2020,Com. Var. de Comb. para Veíc. Autom.,3,0,3
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",4,2,2
07/2020,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
07/2020,Com. Atac. de Produtos Odontológicos,0,1,-1
07/2020,Com. Atac. de Resíduos e Sucatas Metálicos,1,0,1
07/2020,Com. Atac. de Cosméticos e Produtos de Perfumaria,1,0,1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,1,0
07/2020,Com. Var. de Art. do Vestuário e Acessórios,3,22,-19
07/2020,Com. por Atacado de Caminhões Novos e Usados,3,1,2
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,3,1,2
07/2020,Com. Var. de Art. de Papelaria,1,0,1
07/2020,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",0,1,-1
07/2020,Com. Var. de Madeira e Artefatos,0,1,-1
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,1,0,1
07/2020,Com. Var. de Art. Médicos e Ortopédicos,1,0,1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
07/2020,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,0,1,-1
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,4,-4
07/2020,Com. Var. de Plantas e Flores Naturais,0,1,-1
07/2020,"Com. Var. de Cal, Areia, Pedra Britada, Tijolos e Telhas",0,2,-2
07/2020,Com. Var. de Plantas e Flores Naturais,0,1,-1
07/2020,Com. Var. de Animais Vivos e de Art. e Alimentos para Animais de Estimação,0,1,-1
07/2020,Com. Var. de Comb. para Veíc. Autom.,1,1,0
07/2020,"Lojas de Variedades, Exceto Lojas de Dep. ou Magazines",0,1,-1
07/2020,Com. Var. de Livros,0,3,-3
07/2020,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",3,1,2
07/2020,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",3,0,3
07/2020,Com. Var. de Ferragens e Ferramentas,2,1,1
07/2020,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,0,1,-1
07/2020,Com. Var. de Vidros,2,1,1
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",2,0,2
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
07/2020,"Com. Atac. de Merc. em Geral, com Pred. de Produtos Alim.",8,3,5
07/2020,Com. Atac. Especial. em Outros Produtos Alim. não Especif. Ant.,1,0,1
07/2020,Com. Atac. de Produtos Alim. em Geral,0,1,-1
07/2020,Representantes Comerciais e Agentes do Com. de Merc. em Geral não Especial.,1,0,1
07/2020,Com. Var. de Art. de Papelaria,1,0,1
07/2020,Com. Atac. Especial. em Outros Produtos Intermediários não Especif. Ant.,0,1,-1
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
07/2020,"Com. Atac. de Outras Máquinas e Equip. não Especif. Ant., Partes e Peças",1,4,-3
07/2020,Com. Var. de Brinquedos e Art. Recreativos,0,2,-2
07/2020,Com. Var. de Mat. de Const. não Especif. Ant.,0,1,-1
07/2020,Com. Var. de Carnes - Açougues,0,1,-1
07/2020,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
07/2020,Com. Atac. de Embalagens,3,1,2
07/2020,Com. Var. de Comb. para Veíc. Autom.,1,1,0
07/2020,"Com. Var. de Bicicletas e Triciclos, Peças e Acessórios",0,1,-1
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,1,0
07/2020,Com. a Var. de Peças e Acessórios Usados para Veíc. Autom.,3,1,2
07/2020,Com. Var. de Móveis,47,5,42
07/2020,Com. Var. de Mat. de Const. em Geral,2,0,2
07/2020,"Com. Var. de Produtos Farmac., com Manip. de Fórmulas",2,3,-1
07/2020,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,4,0,4
07/2020,"Lojas de Variedades, Exceto Lojas de Dep. ou Magazines",0,1,-1
07/2020,Com. Var. de Brinquedos e Art. Recreativos,1,0,1
07/2020,Com. Var. de Tintas e Mat. para Pintura,1,0,1
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
07/2020,Com. Var. de Tintas e Mat. para Pintura,2,0,2
07/2020,Com. Var. de Art. de óptica,0,4,-4
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",8,3,5
07/2020,"Com. Atac. de Chocolates, Confeitos, Balas, Bombons e Semelhantes",1,0,1
07/2020,Com. Var. de Móveis,4,1,3
07/2020,Com. Var. de Mat. de Const. em Geral,6,6,0
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",0,1,-1
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",0,2,-2
07/2020,"Com. Atac. de Máquinas e Equip. para Uso Industrial, Partes e Peças",1,0,1
07/2020,Com. Var. de Calçados,1,2,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
07/2020,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,0,1
07/2020,Comercio Var. de Art. de Armarinho,0,1,-1
07/2020,Com. Var. de Móveis,0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
07/2020,Padaria e Confeitaria com Pred. de Revenda,1,0,1
07/2020,Com. Var. de Móveis,0,1,-1
07/2020,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,3,-2
07/2020,Com. Var. Especial. de Equip. e Suprimentos de Informática,1,0,1
07/2020,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,3,0,3
07/2020,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",17,3,14
07/2020,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,0,1
07/2020,"Com. Var. de Art. de Tapeçaria, Cortinas e Persianas",1,0,1
07/2020,Com. por Atacado de Motocicletas e Motonetas,0,1,-1
07/2020,"Com. Atac. de Máquinas e Equip. para Uso Industrial, Partes e Peças",1,0,1
07/2020,Com. Var. Especial. de Equip. de Telefonia e Comunicação,1,0,1
07/2020,"Com. Var. de Produtos Farmac., com Manip. de Fórmulas",5,3,2
07/2020,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
