Competência,Subclasse,Admitidos,Desligados,Saldo
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,"Com. Atac. de Produtos da Extração Mineral, Exceto Comb.",1,1,0
02/2021,Com. Var. de Comb. para Veíc. Autom.,1,1,0
02/2021,Com. Var. de Livros,1,2,-1
02/2021,Com. Var. de Calçados,2,1,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,9,1,8
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,2,-2
02/2021,Com. a Var. de Motocicletas e Motonetas Usadas,1,0,1
02/2021,"Com. Var. de Suvenires, Bijuterias e Artesanatos",0,2,-2
02/2021,Com. Var. de Art. de Joalheria,0,1,-1
02/2021,"Comercio Var. de Art. de Cama, Mesa e Banho",1,1,0
02/2021,"Serv. de Instalação, Manutenção e Reparação de Acessórios para Veíc. Autom.",0,1,-1
02/2021,Com. Var. de Mat. de Const. em Geral,0,2,-2
02/2021,Com. Var. de Art. de Joalheria,1,0,1
02/2021,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",0,1,-1
02/2021,Com. Var. de Ferragens e Ferramentas,1,0,1
02/2021,Com. Var. de Calçados,0,3,-3
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",0,1,-1
02/2021,Representantes Comerciais e Agentes do Com. de Merc. em Geral não Especial.,1,0,1
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
02/2021,Com. Var. de Vidros,1,1,0
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,1,0
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",2,2,0
02/2021,Com. por Atacado de Peças e Acessórios Novos para Veíc. Autom.,1,3,-2
02/2021,"Com. Var. Especial. de Peças e Acessórios para Aparelhos Eletroeletrônicos para Uso Doméstico, Exceto Informática e Comunicação",2,0,2
02/2021,"Com. Atac. de Merc. em Geral, com Pred. de Produtos Alim.",4,10,-6
02/2021,Com. Var. de Vidros,1,0,1
02/2021,Com. Atac. Especial. em Outros Produtos Alim. não Especif. Ant.,0,2,-2
02/2021,"Com. Atac. de Resíduos e Sucatas Não-Metálicos, Exceto de Papel e Papelão",1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Serv. de Alinhamento e Balanceamento de Veíc. Autom.,1,0,1
02/2021,Com. Var. de Art. de Papelaria,2,0,2
02/2021,Com. Atac. Especial. em Outros Produtos Intermediários não Especif. Ant.,1,0,1
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
02/2021,"Com. Atac. de Outras Máquinas e Equip. não Especif. Ant., Partes e Peças",5,3,2
02/2021,Com. Var. de Hortifrutigranjeiros,0,1,-1
02/2021,"Com. Atac. de Cereais e Leguminosas Beneficiados, Farinhas, Amidos e Féculas, com Atividade de Fracionamento e Acondicionamento Associada",0,1,-1
02/2021,Com. Atac. de Aparelhos Eletrônicos de Uso Pessoal e Doméstico,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,2,1,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,1,0
02/2021,Com. Atac. de Embalagens,1,0,1
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,2,-2
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
02/2021,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
02/2021,"Com. Var. de Bicicletas e Triciclos, Peças e Acessórios",1,0,1
02/2021,Com. Atac. de Cosméticos e Produtos de Perfumaria,0,1,-1
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,3,1,2
02/2021,Com. a Var. de Peças e Acessórios Usados para Veíc. Autom.,6,1,5
02/2021,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,0,2,-2
02/2021,Com. a Var. de Pneumáticos e Câmaras-De-Ar,0,2,-2
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
02/2021,Com. Var. de Ferragens e Ferramentas,2,0,2
02/2021,Com. Var. de Móveis,2,6,-4
02/2021,Com. Var. de Art. do Vestuário e Acessórios,19,0,19
02/2021,"Com. Var. de Produtos Farmac., com Manip. de Fórmulas",2,0,2
02/2021,"Com. Var. de Bicicletas e Triciclos, Peças e Acessórios",1,0,1
02/2021,Padaria e Confeitaria com Pred. de Revenda,2,0,2
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",2,1,1
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,3,-2
02/2021,Com. Var. de Livros,2,2,0
02/2021,Com. Var. de Brinquedos e Art. Recreativos,0,4,-4
02/2021,"Lojas de Variedades, Exceto Lojas de Dep. ou Magazines",3,0,3
02/2021,Com. Var. de Tintas e Mat. para Pintura,1,0,1
02/2021,Com. Var. de Tintas e Mat. para Pintura,1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,1,0
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,1,0
02/2021,Com. Var. de Tintas e Mat. para Pintura,0,1,-1
02/2021,"Com. Var. de Doces, Balas, Bombons e Semelhantes",12,5,7
02/2021,"Com. Atac. de Chocolates, Confeitos, Balas, Bombons e Semelhantes",4,0,4
02/2021,Com. Var. de Móveis,1,3,-2
02/2021,Com. Var. de Móveis,0,1,-1
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,0,6,-6
02/2021,Com. Var. de Madeira e Artefatos,1,0,1
02/2021,Com. Var. de Mat. de Const. em Geral,1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,2,-2
02/2021,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,2,1,1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,1,0
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
02/2021,Com. Var. de Calçados,0,2,-2
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,2,-2
02/2021,Com. Var. de Calçados,0,1,-1
02/2021,Comercio Var. de Art. de Armarinho,3,4,-1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
02/2021,Com. Var. de Art. de óptica,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,1,0
02/2021,Com. Var. de Art. de óptica,0,1,-1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,0,1
02/2021,Com. Var. de Brinquedos e Art. Recreativos,1,0,1
02/2021,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",7,11,-4
02/2021,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,2,-1
02/2021,"Com. Var. de Doces, Balas, Bombons e Semelhantes",1,2,-1
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,1,-1
02/2021,"Com. Atac. de Máquinas e Equip. para Uso Industrial, Partes e Peças",6,4,2
02/2021,"Com. a Var. de Automóveis, Camionetas e Utilitários Usados",0,1,-1
02/2021,Com. por Atacado de Motocicletas e Motonetas,1,0,1
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,0,2,-2
02/2021,Com. Var. de Tintas e Mat. para Pintura,1,1,0
02/2021,"Representantes Comerciais e Agentes do Com. de Máquinas, Equip., Embarcações e Aeronaves",0,1,-1
02/2021,"Com. Var. de Produtos Farmac., com Manip. de Fórmulas",2,0,2
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,2,1,1
02/2021,Com. Var. de Móveis,2,0,2
02/2021,Com. Var. de Madeira e Artefatos,0,1,-1
02/2021,Outros Representantes Comerciais e Agentes do Com. Especial. em Produtos não Especif. Ant.,1,0,1
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,2,1,1
02/2021,Com. Var. de Plantas e Flores Naturais,0,1,-1
02/2021,Com. Atac. de Carnes Bovinas e Suínas e Derivados,4,1,3
02/2021,Com. Var. de Art. de Relojoaria,0,1,-1
02/2021,Com. Var. de Animais Vivos e de Art. e Alimentos para Animais de Estimação,3,4,-1
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
02/2021,"Com. Atac. de Resíduos e Sucatas Não-Metálicos, Exceto de Papel e Papelão",0,1,-1
02/2021,Com. a Var. de Peças e Acessórios Usados para Veíc. Autom.,0,1,-1
02/2021,"Lojas de Variedades, Exceto Lojas de Dep. ou Magazines",1,2,-1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
02/2021,Com. Var. de Lubrificantes,0,2,-2
02/2021,Com. Var. de Calçados,1,1,0
02/2021,Com. Var. de Calçados,1,0,1
02/2021,"Com. Atac. de Art. do Vestuário e Acessórios, Exceto Profissionais e de Segurança",0,1,-1
02/2021,Com. Var. de Animais Vivos e de Art. e Alimentos para Animais de Estimação,1,1,0
02/2021,Com. Var. de Art. de óptica,2,0,2
02/2021,"Com. Var. Especial. de Peças e Acessórios para Aparelhos Eletroeletrônicos para Uso Doméstico, Exceto Informática e Comunicação",0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. Var. de Hortifrutigranjeiros,1,0,1
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,2,-2
02/2021,Com. Var. de Calçados,0,1,-1
02/2021,Com. Var. de Calçados,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. varejista especializado de equipamentos e suprimentos de informática,1,0,1
02/2021,Com. Var. de Animais Vivos e de Art. e Alimentos para Animais de Estimação,1,0,1
02/2021,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,0,1,-1
02/2021,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,0,1,-1
02/2021,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,1,1,0
02/2021,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,0,2,-2
02/2021,"Com. Var. de Suvenires, Bijuterias e Artesanatos",0,1,-1
02/2021,Com. Var. de Mat. de Const. em Geral,1,0,1
02/2021,Com. Var. de Livros,0,1,-1
02/2021,Com. Var. de Carnes - Açougues,0,1,-1
02/2021,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,0,1,-1
02/2021,Com. Atac. de Componentes Eletrônicos e Equip. de Telefonia e Comunicação,0,1,-1
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,1,2,-1
02/2021,Com. Var. de Madeira e Artefatos,0,1,-1
02/2021,Com. Var. Especial. de Equip. e Suprimentos de Informática,2,0,2
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,2,0,2
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,1,0
02/2021,"Lojas de Variedades, Exceto Lojas de Dep. ou Magazines",2,0,2
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,0,1
02/2021,Com. a Var. de Pneumáticos e Câmaras-De-Ar,0,1,-1
02/2021,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,1,0,1
02/2021,Padaria e Confeitaria com Pred. de Revenda,3,1,2
02/2021,Padaria e Confeitaria com Pred. de Revenda,1,1,0
02/2021,Padaria e Confeitaria com Pred. de Revenda,1,1,0
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,1,0
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. Var. de Art. Esportivos,0,1,-1
02/2021,Com. Var. de Plantas e Flores Naturais,2,0,2
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,0,1,-1
02/2021,Padaria e Confeitaria com Pred. de Revenda,1,1,0
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,1,0,1
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Padaria e Confeitaria com Pred. de Revenda,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,2,0,2
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,1,0
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. Var. de Art. de Viagem,1,1,0
02/2021,Com. Var. de Comb. para Veíc. Autom.,0,2,-2
02/2021,"Com. Atac. de Outras Máquinas e Equip. não Especif. Ant., Partes e Peças",0,4,-4
02/2021,Com. Var. de Móveis,0,1,-1
02/2021,Com. Atac. de Roupas e Acessórios para Uso Profissional e de Segurança do Trabalho,1,0,1
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,1,0
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,0,3,-3
02/2021,Padaria e Confeitaria com Pred. de Revenda,0,1,-1
02/2021,Com. Atac. de Ferragens e Ferramentas,1,0,1
02/2021,"Com. Var. de Suvenires, Bijuterias e Artesanatos",0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,1,0
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,1,0,1
02/2021,Com. Var. de Plantas e Flores Naturais,0,1,-1
02/2021,"Com. Atac. de Instrumentos e Mat. para Uso Médico, Cirúrgico, Hospitalar e de Laboratórios",8,4,4
02/2021,"Com. Var. de Suvenires, Bijuterias e Artesanatos",0,1,-1
02/2021,Padaria e Confeitaria com Pred. de Revenda,4,0,4
02/2021,Padaria e Confeitaria com Pred. de Revenda,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,0,1,-1
02/2021,Com. Atac. de Leite e Laticínios,1,1,0
02/2021,Com. Var. de Comb. para Veíc. Autom.,2,1,1
02/2021,"Lojas de Dep. ou Magazines, Exceto Lojas Francas (Duty Free)",0,2,-2
02/2021,Com. Var. de Art. de óptica,1,0,1
02/2021,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,2,2,0
02/2021,Com. Var. de Ferragens e Ferramentas,3,0,3
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,1,0,1
02/2021,Com. Var. de Móveis,1,0,1
02/2021,Com. Var. de Comb. para Veíc. Autom.,1,0,1
02/2021,Com. Atac. de Outros Equip. e Art. de Uso Pessoal e Doméstico não Especif. Ant.,0,1,-1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,2,36,-34
02/2021,Serv. de Manutenção e Reparação Mecânica de Veíc. Autom.,2,0,2
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,1,0
02/2021,Com. Atac. de Mat. de Const. em Geral,0,1,-1
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
02/2021,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,0,1,-1
02/2021,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",2,0,2
02/2021,Com. Atac. de Cosméticos e Produtos de Perfumaria,1,1,0
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
02/2021,Com. Var. de Móveis,0,3,-3
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. Var. de Art. de Joalheria,0,2,-2
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",0,2,-2
02/2021,"Com. Atac. de Vidros, Espelhos e Vitrais",1,1,0
02/2021,Padaria e Confeitaria com Pred. de Revenda,0,1,-1
02/2021,"Com. Atac. de Frutas, Verduras, Raízes, Tubérculos, Hortaliças e Legumes Frescos",4,0,4
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
02/2021,Serv. de Manutenção e Reparação Elétrica de Veíc. Autom.,1,0,1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",1,2,-1
02/2021,Com. Var. Especial. de Equip. e Suprimentos de Informática,0,1,-1
02/2021,Com. Atac. de Produtos Alim. em Geral,6,15,-9
02/2021,"Serv. de Instalação, Manutenção e Reparação de Acessórios para Veíc. Autom.",3,0,3
02/2021,Serv. de Alinhamento e Balanceamento de Veíc. Autom.,1,0,1
02/2021,Com. Var. Especial. de Eletrod. e Equip. de áudio e Vídeo,8,7,1
02/2021,Com. a Var. de Peças e Acessórios Usados para Veíc. Autom.,2,2,0
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. Var. de Outros Art. de Uso Doméstico não Especif. Ant.,1,2,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
02/2021,Com. Var. de Bebidas,1,0,1
02/2021,Com. Atac. de Cosméticos e Produtos de Perfumaria,4,0,4
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Com. Var. de Calçados,0,1,-1
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
02/2021,Com. a Var. de Pneumáticos e Câmaras-De-Ar,2,1,1
02/2021,Com. Var. de Carnes - Açougues,0,1,-1
02/2021,Com. Var. de Outros Art. de Uso Doméstico não Especif. Ant.,1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,2,-2
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. Var. de Outros Art. de Uso Doméstico não Especif. Ant.,2,0,2
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,1,0
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
02/2021,Com. Atac. de Cosméticos e Produtos de Perfumaria,1,0,1
02/2021,Com. Var. de Hortifrutigranjeiros,1,0,1
02/2021,Com. a Var. de Peças e Acessórios para Motocicletas e Motonetas (Desativado),0,1,-1
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
02/2021,Com. Var. de Livros,1,0,1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,0,1,-1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,0,1
02/2021,Padaria e Confeitaria com Pred. de Revenda,0,1,-1
02/2021,Com. Var. de Hortifrutigranjeiros,0,1,-1
02/2021,Com. Var. de Merc. em Lojas de Conveniência,0,1,-1
02/2021,Com. Var. de Merc. em Lojas de Conveniência,6,0,6
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",5,0,5
02/2021,Serv. de Manutenção e Reparação Elétrica de Veíc. Autom.,1,0,1
02/2021,Com. Var. de Laticínios e Frios,1,1,0
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,1,0
02/2021,Com. Var. de Calçados,0,1,-1
02/2021,Serv. de Borracharia para Veíc. Autom.,4,1,3
02/2021,Padaria e Confeitaria com Pred. de Revenda,1,0,1
02/2021,"Com. Var. de Suvenires, Bijuterias e Artesanatos",1,0,1
02/2021,Com. Atac. de Embalagens,1,0,1
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",2,2,0
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,1,0
02/2021,Com. Var. de Art. de Iluminação,1,0,1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
02/2021,Com. Var. de Animais Vivos e de Art. e Alimentos para Animais de Estimação,1,1,0
02/2021,Com. Var. de Animais Vivos e de Art. e Alimentos para Animais de Estimação,3,2,1
02/2021,Com. Var. de Tecidos,1,0,1
02/2021,Com. Var. de Carnes - Açougues,1,1,0
02/2021,"Com. Atac. de Resíduos e Sucatas Não-Metálicos, Exceto de Papel e Papelão",2,1,1
02/2021,"Com. Atac. de Merc. em Geral, sem Pred. de Alimentos ou de Insumos Agropecuários",0,3,-3
02/2021,Com. Var. de Mat. de Const. não Especif. Ant.,0,1,-1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",2,1,1
02/2021,"Com. Atac. de Máquinas, Aparelhos e Equip. para Uso Odonto-Médico-Hospitalar, Partes e Peças",0,1,-1
02/2021,Padaria e Confeitaria com Pred. de Revenda,0,1,-1
02/2021,Com. Var. de Animais Vivos e de Art. e Alimentos para Animais de Estimação,1,0,1
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
02/2021,Com. Var. de Merc. em Lojas de Conveniência,1,0,1
02/2021,Serv. de Lanternagem ou Funilaria e Pintura de Veíc. Autom.,0,1,-1
02/2021,"Com. Var. Especial. de Peças e Acessórios para Aparelhos Eletroeletrônicos para Uso Doméstico, Exceto Informática e Comunicação",0,1,-1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,1,0
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,0,1
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,1,1,0
02/2021,Com. Var. de Merc. em Lojas de Conveniência,1,1,0
02/2021,Com. Var. de Outros Produtos não Especif. Ant.,1,0,1
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,0,1,-1
02/2021,Com. Var. Especial. de Equip. de Telefonia e Comunicação,0,2,-2
02/2021,Padaria e Confeitaria com Pred. de Revenda,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. Var. de Bebidas,0,1,-1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",2,2,0
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",5,1,4
02/2021,Com. Var. de Art. do Vestuário e Acessórios,1,0,1
02/2021,Padaria e Confeitaria com Pred. de Revenda,2,1,1
02/2021,Com. Var. de Ferragens e Ferramentas,0,1,-1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,1,0
02/2021,Com. Var. de Mat. de Const. em Geral,0,1,-1
02/2021,"Com. a Var. de Automóveis, Camionetas e Utilitários Novos",1,1,0
02/2021,"Com. Var. de Cosméticos, Produtos de Perfumaria e de Higiene Pessoal",1,1,0
02/2021,Com. Var. de Bebidas,1,1,0
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,2,1,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,0,1
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Minimercados, Mercearias e Armazéns",1,0,1
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
02/2021,Com. Var. de Calçados,1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,2,0,2
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Hipermercados",5,8,-3
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,1,-1
02/2021,"Com. a Var. de Automóveis, Camionetas e Utilitários Usados",0,1,-1
02/2021,Com. Var. de Mat. de Const. em Geral,1,0,1
02/2021,Com. Var. de Art. de Joalheria,0,2,-2
02/2021,"Com. Var. de Merc. em Geral, com Pred. de Produtos Alim. - Superm.",4,1,3
02/2021,Com. Var. de Comb. para Veíc. Autom.,0,1,-1
02/2021,"Serv. de Lavagem, Lubrificação e Polimento de Veíc. Autom.",0,2,-2
02/2021,Com. Var. de Art. do Vestuário e Acessórios,5,1,4
02/2021,Com. Var. de Art. do Vestuário e Acessórios,0,2,-2
02/2021,Com. Var. de Art. de Viagem,1,0,1
02/2021,Com. a Var. de Peças e Acessórios Novos para Veíc. Autom.,0,1,-1
02/2021,Com. por Atacado de Pneumáticos e Câmaras-De-Ar,1,0,1
02/2021,Com. Var. de Calçados,3,3,0
02/2021,"Com. Var. de Suvenires, Bijuterias e Artesanatos",0,1,-1
02/2021,Com. Atac. de Produtos Alim. em Geral,22,7,15
02/2021,"Lojas de Variedades, Exceto Lojas de Dep. ou Magazines",1,0,1
02/2021,Com. Atac. Especial. em Outros Produtos Alim. não Especif. Ant.,10,3,7
02/2021,Com. Var. de Bebidas,1,0,1
02/2021,Com. Var. de Bebidas,1,0,1
02/2021,Com. Var. de Mat. de Const. não Especif. Ant.,1,0,1
02/2021,Com. Var. de Produtos Alim. em Geral ou Especial. em Produtos Alim. não Especif. Ant.,1,0,1
02/2021,"Com. Atac. de Art. do Vestuário e Acessórios, Exceto Profissionais e de Segurança",0,1,-1
02/2021,Com. Var. de Plantas e Flores Naturais,9,3,6
02/2021,"Com. Var. de Produtos Farmac., sem Manip. de Fórmulas",1,0,1
02/2021,Com. Var. de Art. do Vestuário e Acessórios,3,2,1
